scaling_coef,SUN397,Cars,RESISC45,SVHN,GTSRB,DTD,MNIST,EuroSAT
0.0,0.6318891687657431,0.5964432284541724,0.6022222222222222,0.3160725261216964,0.32557403008709423,0.4441489361702128,0.4825,0.45037037037037037
0.1,0.6550629722921915,0.6303942295734362,0.6788888888888889,0.4632375537799631,0.43752969121140145,0.4898936170212766,0.5917,0.4588888888888889
0.2,0.6707304785894207,0.653276955602537,0.7314285714285714,0.6344883220651506,0.5757719714964371,0.5372340425531915,0.6979,0.45222222222222225
0.30000000000000004,0.6783879093198992,0.6616092525805248,0.77,0.7720113706207744,0.7098970704671417,0.5617021276595745,0.7593,0.43074074074074076
0.4,0.6615113350125944,0.6490486257928119,0.7823809523809524,0.8619391518131531,0.7903404592240697,0.5882978723404255,0.7899,0.42962962962962964
0.5,0.6118387909319899,0.6088794926004228,0.7717460317460317,0.9084204056545789,0.8252573238321457,0.5930851063829787,0.8076,0.4122222222222222
0.6000000000000001,0.5075566750629723,0.5409774903618952,0.7206349206349206,0.9281653349723418,0.8348376880443389,0.576063829787234,0.8172,0.3459259259259259
0.7000000000000001,0.365088161209068,0.44957094888695437,0.6204761904761905,0.9353103872157345,0.8267616785431512,0.5377659574468086,0.8194,0.2348148148148148
0.8,0.22614609571788413,0.3575425942047009,0.4982539682539682,0.933620159803319,0.8038004750593825,0.475,0.8184,0.1674074074074074
0.9,0.13057934508816121,0.27359781121751026,0.38015873015873014,0.9272049784880148,0.7695961995249406,0.42340425531914894,0.8099,0.13814814814814816
1.0,0.07183879093198993,0.19226464370103222,0.2850793650793651,0.9170251997541488,0.7159144893111639,0.36861702127659574,0.7899,0.12518518518518518
