scaling_coef,dataset,acc
0.0,SUN397,0.6318891687657431
0.0,Cars,0.5964432284541724
0.0,RESISC45,0.6022222222222222
0.0,EuroSAT,0.45037037037037037
0.0,SVHN,0.3160725261216964
0.0,GTSRB,0.32557403008709423
0.0,MNIST,0.4825
0.0,DTD,0.4441489361702128
0.1,SUN397,0.6501259445843829
0.1,Cars,0.6296480537246611
0.1,RESISC45,0.7031746031746032
0.1,EuroSAT,0.7122222222222222
0.1,SVHN,0.593500307314075
0.1,GTSRB,0.4857482185273159
0.1,MNIST,0.8379
0.1,DTD,0.49946808510638296
0.2,SUN397,0.637632241813602
0.2,Cars,0.6205695808978983
0.2,RESISC45,0.72
0.2,EuroSAT,0.7811111111111111
0.2,SVHN,0.7442378610940381
0.2,GTSRB,0.6508313539192399
0.2,MNIST,0.94
0.2,DTD,0.5218085106382979
0.30000000000000004,SUN397,0.5527455919395466
0.30000000000000004,Cars,0.5494341499813457
0.30000000000000004,RESISC45,0.6666666666666666
0.30000000000000004,EuroSAT,0.774074074074074
0.30000000000000004,SVHN,0.8020897357098955
0.30000000000000004,GTSRB,0.6968329374505147
0.30000000000000004,MNIST,0.9734
0.30000000000000004,DTD,0.5010638297872341
0.4,SUN397,0.36710327455919395
0.4,Cars,0.41014799154334036
0.4,RESISC45,0.5377777777777778
0.4,EuroSAT,0.6644444444444444
0.4,SVHN,0.8062768899815611
0.4,GTSRB,0.6604117181314331
0.4,MNIST,0.9813
0.4,DTD,0.425
0.5,SUN397,0.18191435768261965
0.5,Cars,0.23230941425195872
0.5,RESISC45,0.3871428571428571
0.5,EuroSAT,0.5388888888888889
0.5,SVHN,0.7775046097111248
0.5,GTSRB,0.5741092636579572
0.5,MNIST,0.9778
0.5,DTD,0.3446808510638298
0.6000000000000001,SUN397,0.08035264483627204
0.6000000000000001,Cars,0.09451560751150355
0.6000000000000001,RESISC45,0.2509523809523809
0.6000000000000001,EuroSAT,0.4577777777777778
0.6000000000000001,SVHN,0.7303703134603565
0.6000000000000001,GTSRB,0.4552652414885194
0.6000000000000001,MNIST,0.9615
0.6000000000000001,DTD,0.2696808510638298
0.7000000000000001,SUN397,0.03481108312342569
0.7000000000000001,Cars,0.027857231687601045
0.7000000000000001,RESISC45,0.16746031746031745
0.7000000000000001,EuroSAT,0.3988888888888889
0.7000000000000001,SVHN,0.6708666256914567
0.7000000000000001,GTSRB,0.3495645288994458
0.7000000000000001,MNIST,0.9192
0.7000000000000001,DTD,0.20159574468085106
0.8,SUN397,0.014256926952141058
0.8,Cars,0.011565725656012934
0.8,RESISC45,0.11428571428571428
0.8,EuroSAT,0.34703703703703703
0.8,SVHN,0.5997234173325138
0.8,GTSRB,0.25186064924782264
0.8,MNIST,0.8327
0.8,DTD,0.14042553191489363
0.9,SUN397,0.007405541561712846
0.9,Cars,0.009451560751150355
0.9,RESISC45,0.08412698412698413
0.9,EuroSAT,0.3111111111111111
0.9,SVHN,0.5273893669330055
0.9,GTSRB,0.17695961995249407
0.9,MNIST,0.6956
0.9,DTD,0.10425531914893617
1.0,SUN397,0.0038790931989924433
1.0,Cars,0.0067155826389752515
1.0,RESISC45,0.06746031746031746
1.0,EuroSAT,0.277037037037037
1.0,SVHN,0.44552858020897357
1.0,GTSRB,0.1517814726840855
1.0,MNIST,0.4945
1.0,DTD,0.07819148936170213
