model,glue-cola,glue-mnli,glue-mrpc,glue-qnli,glue-qqp,glue-rte,glue-sst2,glue-stsb
pretrained,0.6912751677852349,0.5645440652063168,0.7622549019607843,0.8844956983342486,0.821197130843433,0.8014440433212996,0.911697247706422,0.6219045336563466
glue-cola,0.6912751677852349,0.3990830361691289,0.7524509803921569,0.8914515833790957,0.8105119960425426,0.8194945848375451,0.9071100917431193,0.5404242720509481
glue-mnli,0.6941514860977949,0.8269994905756495,0.7377450980392157,0.8925498810177558,0.8202077665100174,0.7942238267148014,0.9094036697247706,0.681044443546387
glue-mrpc,0.6404602109300096,0.4488028527763627,0.8553921568627451,0.8264689730917079,0.8100420479841701,0.6895306859205776,0.8864678899082569,0.7356933483817026
glue-qnli,0.6893576222435283,0.5272542027508915,0.7671568627450981,0.9093904448105437,0.8282710858273559,0.7978339350180506,0.9151376146788991,0.6894900398787345
glue-qqp,0.6500479386385427,0.546001018848701,0.7573529411764706,0.8903532857404357,0.8401187237200098,0.8158844765342961,0.9071100917431193,0.7525191005695274
glue-rte,0.6490891658676894,0.5184921039225675,0.6936274509803921,0.8920007321984258,0.7982933465248577,0.8447653429602888,0.9059633027522935,0.7013365041274742
glue-sst2,0.6826462128475551,0.5661742231278655,0.7598039215686274,0.8854109463664653,0.8335394509027949,0.7978339350180506,0.9288990825688074,0.6258733871265397
glue-stsb,0.6567593480345159,0.017422312786551198,0.6740196078431373,0.8927329306241991,0.8013603759584467,0.7978339350180506,0.908256880733945,0.874311090228418
