epoch,dataset,score
0,glue-cola,0.7689357622243528
0,glue-mnli,0.8541008660213958
0,glue-mrpc,0.8529411764705882
0,glue-qnli,0.9392275306608091
0,glue-qqp,0.8583724956715311
0,glue-rte,0.8808664259927798
0,glue-sst2,0.9518348623853211
0,glue-stsb,0.8775491382532951
100,glue-cola,0.7698945349952061
100,glue-mnli,0.8589913397860418
100,glue-mrpc,0.8529411764705882
100,glue-qnli,0.9388614314479223
100,glue-qqp,0.8584219638882018
100,glue-rte,0.8808664259927798
100,glue-sst2,0.9518348623853211
100,glue-stsb,0.8780381682177643
200,glue-cola,0.7689357622243528
200,glue-mnli,0.8613346917982679
200,glue-mrpc,0.8529411764705882
200,glue-qnli,0.938678381841479
200,glue-qqp,0.8584219638882018
200,glue-rte,0.8808664259927798
200,glue-sst2,0.9518348623853211
200,glue-stsb,0.8797160176884411
300,glue-cola,0.7698945349952061
300,glue-mnli,0.8643912379011717
300,glue-mrpc,0.8504901960784313
300,glue-qnli,0.938678381841479
300,glue-qqp,0.8583477615631957
300,glue-rte,0.8808664259927798
300,glue-sst2,0.9518348623853211
300,glue-stsb,0.8811965159462235
400,glue-cola,0.7679769894534996
400,glue-mnli,0.8665308201732043
400,glue-mrpc,0.8480392156862745
400,glue-qnli,0.9384953322350357
400,glue-qqp,0.8584219638882018
400,glue-rte,0.8808664259927798
400,glue-sst2,0.9518348623853211
400,glue-stsb,0.8804669535992236
500,glue-cola,0.7679769894534996
500,glue-mnli,0.8693835965359145
500,glue-mrpc,0.8480392156862745
500,glue-qnli,0.9383122826285923
500,glue-qqp,0.8582240910215186
500,glue-rte,0.8844765342960289
500,glue-sst2,0.9518348623853211
500,glue-stsb,0.8826410979630324
600,glue-cola,0.7679769894534996
600,glue-mnli,0.8710137544574631
600,glue-mrpc,0.8480392156862745
600,glue-qnli,0.938129233022149
600,glue-qqp,0.8582488251298541
600,glue-rte,0.8844765342960289
600,glue-sst2,0.9518348623853211
600,glue-stsb,0.8833355802768893
700,glue-cola,0.7679769894534996
700,glue-mnli,0.8721344880285278
700,glue-mrpc,0.8480392156862745
700,glue-qnli,0.9379461834157057
700,glue-qqp,0.8584714321048726
700,glue-rte,0.8808664259927798
700,glue-sst2,0.9518348623853211
700,glue-stsb,0.8833360485136873
800,glue-cola,0.7670182166826462
800,glue-mnli,0.8737646459500764
800,glue-mrpc,0.8480392156862745
800,glue-qnli,0.9379461834157057
800,glue-qqp,0.8585456344298789
800,glue-rte,0.8808664259927798
800,glue-sst2,0.9518348623853211
800,glue-stsb,0.8837019781052243
900,glue-cola,0.7670182166826462
900,glue-mnli,0.8749872643912379
900,glue-mrpc,0.8480392156862745
900,glue-qnli,0.9375800842028189
900,glue-qqp,0.8585703685382142
900,glue-rte,0.8808664259927798
900,glue-sst2,0.9518348623853211
900,glue-stsb,0.8850824859095773
1000,glue-cola,0.7670182166826462
1000,glue-mnli,0.8760061130922058
1000,glue-mrpc,0.8480392156862745
1000,glue-qnli,0.9377631338092624
1000,glue-qqp,0.8586693049715558
1000,glue-rte,0.8808664259927798
1000,glue-sst2,0.9518348623853211
1000,glue-stsb,0.8856814193354084
